int,resp,probs,feedback,Subject,Block,Run,Task,Main
600.0,538.3814308451743,0.685923739736254,10.546800179688974,1,Short Uniform,1029,1,True
600.0,759.8974433937311,0.07925067524927358,71.01997889958736,1,Short Uniform,1030,1,True
750.0,462.90606535504577,0.08871176807996255,146.5296485509711,1,Short Uniform,1031,1,True
450.0,465.87577924098446,0.5103571251864358,1.2446437852270271,1,Short Uniform,1032,1,True
675.0,651.7726485965568,0.5702233330000196,1.1841094172159892,1,Short Uniform,1033,1,True
750.0,498.6224181502431,0.06660620967519479,112.3390020562333,1,Short Uniform,1034,1,True
525.0,478.20001211419424,0.05969338776432268,7.946444865710897,1,Short Uniform,1035,1,True
825.0,521.3506514593515,0.32550355333341036,135.468028457903,1,Short Uniform,1036,1,True
825.0,449.8444633560008,0.10896963379919207,206.78299603253924,1,Short Uniform,1037,1,True
525.0,526.6531368497774,0.7197692173127545,0.009915143561331457,1,Short Uniform,1038,1,True
675.0,760.3633969090793,0.1093545998349736,15.99321707952154,1,Short Uniform,1039,1,True
525.0,418.3423281533925,0.06635284168327106,41.272957691568664,1,Short Uniform,1040,1,True
450.0,416.5347573894229,0.45925217895517084,5.530481298690296,1,Short Uniform,1041,1,True
825.0,454.9428206064819,0.159634807071729,201.2008316190067,1,Short Uniform,1042,1,True
450.0,748.5190172765434,0.18778904377227185,440.0671786456949,1,Short Uniform,1043,1,True
600.0,690.9187884394212,0.6522788168723406,22.96173914247841,1,Short Uniform,1044,1,True
825.0,825.2696602614582,0.31659780285484823,0.00010683806297107655,1,Short Uniform,1045,1,True
600.0,507.28237672133605,0.6871600935028381,23.879326851234023,1,Short Uniform,1046,1,True
675.0,854.0288719569747,0.038386084473134414,70.34586994608911,1,Short Uniform,1047,1,True
750.0,613.9042800692694,0.1646067453678582,32.92807997060245,1,Short Uniform,1048,1,True
750.0,733.9422377113777,0.35014387802971136,0.45840307505404293,1,Short Uniform,1049,1,True
600.0,479.2538744721965,0.698175757136434,40.49896341660021,1,Short Uniform,1050,1,True
675.0,527.678903289117,0.766678450814947,47.634580051791154,1,Short Uniform,1051,1,True
450.0,424.6314861393764,0.06677690910714125,3.178081459242719,1,Short Uniform,1052,1,True
450.0,685.9295190632348,0.159755825526678,274.87771834770007,1,Short Uniform,1053,1,True
825.0,666.7866134124515,0.6182607160305319,36.7771911045011,1,Short Uniform,1054,1,True
525.0,526.4288565154826,0.04983251121125769,0.007407277793513284,1,Short Uniform,1055,1,True
600.0,533.3248555669177,0.7361398038700006,12.348819125478856,1,Short Uniform,1056,1,True
450.0,633.2480713423262,0.180365542265445,165.8264476576902,1,Short Uniform,1057,1,True
825.0,530.0220807523779,0.6327343735906101,127.8412824149226,1,Short Uniform,1058,1,True
450.0,524.3987554510999,0.2890846307689702,27.334196605790435,1,Short Uniform,1059,1,True
450.0,654.3966761634737,0.10021745818445293,206.31111716877,1,Short Uniform,1060,1,True
675.0,814.1295943399622,0.13359626547706724,42.4845959313085,1,Short Uniform,1061,1,True
600.0,464.19121570197024,0.40064831654937555,51.233405256968815,1,Short Uniform,1062,1,True
