Subject,Cond,Trial,T_s,T_p,Main
0,One,229,1737.8,1737.8,Train
0,One,230,1724.95,1724.95,Train
0,One,231,1964.54,1964.54,Train
0,One,232,1641.86,1641.86,Train
0,One,233,2020.95,2020.95,Train
0,One,234,1697.77,1697.77,Train
0,One,235,1788.5,1788.5,Train
0,One,236,2223.59,2223.59,Train
0,One,237,1955.72,1955.72,Train
0,One,238,1864.02,1864.02,Train
0,One,239,2117.24,2117.24,Train
0,One,240,1575.71,1575.71,Train
0,One,241,2284.05,2284.05,Train
0,One,242,1594.38,1594.38,Train
0,One,243,1907.96,1907.96,Train
0,One,244,1721.63,1721.63,Train
0,One,245,1730.73,1730.73,Train
0,One,246,2004.89,2004.89,Train
0,One,247,1940.68,1940.68,Train
0,One,248,1539.27,1539.27,Train
0,One,249,1637.41,1637.41,Train
0,One,250,1484.66,1484.66,Train
0,One,251,1751.38,1751.38,Train
0,One,252,1803.54,1803.54,Train
0,One,253,1621.91,1621.91,Train
0,One,254,2087.81,2087.81,Train
0,One,255,1688.88,1688.88,Train
0,One,256,1980.84,1980.84,Train
0,One,257,1681.87,1681.87,Train
0,One,258,1860.05,1860.05,Train
0,One,259,1999.66,1999.66,Train
0,One,260,1970.0,1970.0,Train
0,One,261,1935.97,1935.97,Train
0,One,262,1787.87,1787.87,Train
0,One,263,1797.27,1797.27,Train
0,One,264,2295.01,2295.01,Train
0,One,265,2151.73,2151.73,Train
0,One,266,1583.32,1583.32,Train
0,One,267,1607.56,1607.56,Train
0,One,268,1889.79,1889.79,Train
0,One,269,2111.16,2111.16,Train
0,One,270,1838.77,1838.77,Train
0,One,271,1731.1,1731.1,Train
0,One,272,2183.75,2183.75,Train
0,One,273,1917.87,1917.87,Train
0,One,274,1646.73,1646.73,Train
0,One,275,2314.71,2314.71,Train
0,One,276,2087.84,2087.84,Train
0,One,277,1967.13,1967.13,Train
0,One,278,1912.77,1912.77,Train
0,One,279,2190.66,2190.66,Train
0,One,280,1631.3,1631.3,Train
0,One,281,2321.14,2321.14,Train
0,One,282,1582.37,1582.37,Train
0,One,283,1622.48,1622.48,Train
0,One,284,1648.29,1648.29,Train
0,One,285,2464.62,2464.62,Train
0,One,286,2209.77,2209.77,Train
0,One,287,1908.59,1908.59,Train
0,One,288,2030.01,2030.01,Train
0,One,289,2144.23,2144.23,Train
0,One,290,1698.34,1698.34,Train
0,One,291,1732.54,1732.54,Train
0,One,292,1795.87,1795.87,Train
0,One,293,2118.48,2118.48,Train
0,One,294,1674.86,1674.86,Train
0,One,295,1690.8,1690.8,Train
0,One,296,1783.43,1783.43,Train
0,One,297,2309.14,2309.14,Train
0,One,298,1848.64,1848.64,Train
0,One,299,2057.84,2057.84,Train
0,One,300,1735.93,1735.93,Train
0,One,301,1747.37,1747.37,Train
0,One,302,2213.14,2213.14,Train
0,One,303,1352.1,1352.1,Train
0,One,304,1732.03,1732.03,Train
0,One,305,2029.73,2029.73,Train
0,One,306,1837.7,1837.7,Train
0,One,307,2045.74,2045.74,Train
0,One,308,1942.79,1942.79,Train
0,One,309,1969.51,1969.51,Train
0,One,310,1585.84,1585.84,Train
0,One,311,1499.42,1499.42,Train
0,One,312,1749.6,1749.6,Train
0,One,313,1779.0,1779.0,Train
0,One,314,1608.93,1608.93,Train
0,One,315,2002.59,2002.59,Train
0,One,316,2158.68,2158.68,Train
0,One,317,2007.95,2007.95,Train
0,One,318,1784.12,1784.12,Train
0,One,319,1881.17,1881.17,Train
0,One,320,2011.79,2011.79,Train
0,One,321,2056.81,2056.81,Train
0,One,322,1984.83,1984.83,Train
0,One,323,2415.94,2415.94,Train
0,One,324,1944.15,1944.15,Train
0,One,325,1988.29,1988.29,Train
0,One,326,1497.15,1497.15,Train
0,One,327,1610.19,1610.19,Train
0,One,328,2194.65,2194.65,Train
0,One,329,2189.15,2189.15,Train
0,One,330,1865.86,1865.86,Train
0,One,331,2206.74,2206.74,Train
0,One,332,1470.94,1470.94,Train
0,One,333,1558.87,1558.87,Train
0,One,334,1683.21,1683.21,Train
0,One,335,1785.78,1785.78,Train
0,One,336,2179.14,2179.14,Train
0,One,337,2117.9,2117.9,Train
0,One,338,1663.62,1663.62,Train
0,One,339,2053.54,2053.54,Train
0,One,340,1996.54,1996.54,Train
0,One,341,1979.2,1979.2,Train
0,One,342,1521.4,1521.4,Train
0,One,343,1768.79,1768.79,Train
0,One,344,2294.79,2294.79,Train
0,One,345,2382.93,2382.93,Train
0,One,346,2153.91,2153.91,Train
0,One,347,1897.13,1897.13,Train
0,One,348,1778.3,1778.3,Train
0,One,349,1915.32,1915.32,Train
0,One,350,1883.27,1883.27,Train
0,One,351,2334.76,2334.76,Train
